Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,DeAndre Carter (14061062),DeAndre Carter,14061062,WR/FLEX,3400,BUF@HOU 01/04/2020 04:35PM ET,HOU,1.64
WR,Duke Williams (14061064),Duke Williams,14061064,WR/FLEX,3400,BUF@HOU 01/04/2020 04:35PM ET,BUF,9.4
TE,Josh Hill (14061126),Josh Hill,14061126,TE/FLEX,3400,MIN@NO 01/05/2020 01:05PM ET,NO,4.1
WR,David Moore (14061066),David Moore,14061066,WR/FLEX,3400,SEA@PHI 01/05/2020 04:40PM ET,SEA,4.33
DST,Patriots  (14061170),Patriots ,14061170,DST,3400,TEN@NE 01/04/2020 08:15PM ET,NE,14.31
WR,Keke Coutee (14061068),Keke Coutee,14061068,WR/FLEX,3300,BUF@HOU 01/04/2020 04:35PM ET,HOU,5.98
RB,Robert Turbin (14060988),Robert Turbin,14060988,RB/FLEX,3300,SEA@PHI 01/05/2020 04:40PM ET,SEA,0
WR,JJ Arcega-Whiteside (14061070),JJ Arcega-Whiteside,14061070,WR/FLEX,3300,SEA@PHI 01/05/2020 04:40PM ET,PHI,2.06
WR,Malik Turner (14061072),Malik Turner,14061072,WR/FLEX,3300,SEA@PHI 01/05/2020 04:40PM ET,SEA,3.03
RB,Buddy Howell (14060990),Buddy Howell,14060990,RB/FLEX,3200,BUF@HOU 01/04/2020 04:35PM ET,HOU,0.06
WR,Andre Roberts (14061074),Andre Roberts,14061074,WR/FLEX,3200,BUF@HOU 01/04/2020 04:35PM ET,BUF,0.44
WR,Alexander Hollins (14061076),Alexander Hollins,14061076,WR/FLEX,3200,MIN@NO 01/05/2020 01:05PM ET,MIN,1.32
WR,Robert Davis (14061080),Robert Davis,14061080,WR/FLEX,3200,SEA@PHI 01/05/2020 04:40PM ET,PHI,0.62
WR,Phillip Dorsett II (14061078),Phillip Dorsett II,14061078,WR/FLEX,3200,TEN@NE 01/04/2020 08:15PM ET,NE,7.2
WR,Steven Mitchell Jr. (14061082),Steven Mitchell Jr.,14061082,WR/FLEX,3100,BUF@HOU 01/04/2020 04:35PM ET,HOU,1.9
DST,Bills  (14061171),Bills ,14061171,DST,3100,BUF@HOU 01/04/2020 04:35PM ET,BUF,8.38
RB,C.J. Ham (14060992),C.J. Ham,14060992,RB/FLEX,3100,MIN@NO 01/05/2020 01:05PM ET,MIN,2.41
RB,Dwayne Washington (14060996),Dwayne Washington,14060996,RB/FLEX,3100,MIN@NO 01/05/2020 01:05PM ET,NO,0.48
WR,Deonte Harris (14061086),Deonte Harris,14061086,WR/FLEX,3100,MIN@NO 01/05/2020 01:05PM ET,NO,1.18
WR,Deontay Burnett (14061088),Deontay Burnett,14061088,WR/FLEX,3100,SEA@PHI 01/05/2020 04:40PM ET,PHI,6.8
RB,Brandon Bolden (14060994),Brandon Bolden,14060994,RB/FLEX,3100,TEN@NE 01/04/2020 08:15PM ET,NE,3.39
